"latlon","label","num_hits"
"17.475833 S 149.812222 W","GS048a","7"
"1.973889 S 95.014722 W","GS037","2"
"0.301111 S 91.651667 W","GS031","4"
"0.272222 N 91.633333 W","GS030","4"
"10.716389 N 80.254444 W","GS019","2"
"9.164444 N 79.836111 W","GS020","1"
"32.506944 N 79.263889 W","GS014","2"
"41.485833 N 71.351111 W","GS008","2"
"42.503056 N 67.24 W","GS002","1"
"32.166667 N 64.5 W","GS001b","2"
"32.174833 N 64.010167 W","GS000c","2"
"31.535 N 63.595 W","GS000d","7"
"6.316667 S 39.009167 E","GS148","2"
"12.0925 S 96.881667 E","GS108b","2"
